#,MATCHUP,BET RECOMMENDATION,STATUS
1,1 Ohio State @ 15 Michigan,Ohio State -9.5,WIN
2,2 Indiana @ Purdue,Indiana -28.5,WIN
3,3 Texas A&M @ 16 Texas,Texas +2.0,WIN
4,4 Georgia @ 23 Georgia Tech,Georgia -13.5,LOSS
5,6 Oregon @ Washington,Oregon -6.5,WIN
6,7 Ole Miss @ Mississippi State,Ole Miss -7.0,WIN
7,5 Texas Tech @ West Virginia,Texas Tech -24.0,WIN
8,LSU @ 8 Oklahoma,Oklahoma -10.5,LOSS
9,UCF @ 11 BYU,BYU -17.5,WIN
10,14 Vanderbilt @ 19 Tennessee,Vanderbilt +3.5,WIN
11,12 Miami @ 22 Pittsburgh,Miami -6.5,WIN
12,13 Utah @ Kansas,Utah -11.5,LOSS
13,Temple @ North Texas,North Texas -20.5,WIN
14,Troy @ Southern Miss,Troy +6.5,WIN
15,Oregon State @ Washington State,Washington State -13.5,WIN
16,Maryland @ Michigan State,Maryland +4.0,LOSS
17,Rice @ South Florida,South Florida -28.5,WIN
18,Northwestern @ Illinois,Illinois -7.0,PUSH
19,Navy @ Memphis,Memphis -5.5,LOSS
20,Ohio @ Buffalo,Ohio -7.0,LOSS
21,Kent State @ Northern Illinois,Northern Illinois -5.5,LOSS
22,Air Force @ Colorado State,Air Force -2.5,WIN
23,Boise State @ Utah State,Boise State -3.5,LOSS
24,Houston @ Baylor,Baylor -2.5,LOSS
25,Kentucky @ Louisville,Kentucky +3.5,LOSS
26,Clemson @ South Carolina,Clemson +3.0,WIN
27,Colorado @ Kansas State,Kansas State -17.0,LOSS
28,Iowa State @ Oklahoma State,Iowa State -14.0,LOSS
29,East Carolina @ Florida Atlantic,East Carolina -6.5,WIN
30,Toledo @ Central Michigan,Toledo -10.0,WIN
31,Ball State @ Miami (OH),Miami (OH) -17.5,WIN
32,Florida International @ Sam Houston,Florida International -9.5,WIN
33,Georgia Southern @ Marshall,Marshall -9.5,LOSS
34,Western Kentucky @ Jacksonville State,Jacksonville State +2.5,WIN
35,Georgia State @ Old Dominion,Old Dominion -27.5,WIN
36,Arkansas State @ App State,Arkansas State +2.5,WIN
37,UL Monroe @ Louisiana,Louisiana -9.5,WIN
38,South Alabama @ Texas State,Texas State -9.5,WIN
39,Penn State @ Rutgers,Penn State -13.0,LOSS
40,UAB @ Tulsa,UAB +7.5,WIN
41,Bowling Green @ Massachusetts,Bowling Green -14.0,WIN
42,Western Michigan @ Eastern Michigan,Western Michigan -9.5,WIN
43,Army @ UTSA,UTSA -7.5,WIN
44,Iowa @ Nebraska,Iowa -6.5,WIN
45,10 Alabama @ Auburn,Alabama -5.5,WIN
46,Cincinnati @ TCU,TCU -4.5,WIN
47,Fresno State @ San José State,Fresno State -3.0,WIN
48,James Madison @ Coastal Carolina,James Madison -21.5,WIN
49,Kennesaw State @ Liberty,Liberty +2.5,LOSS
50,Missouri @ Arkansas,Missouri -2.5,WIN
51,9 Notre Dame @ Stanford,Notre Dame -32.5,LOSS
52,21 SMU @ California,SMU -13.5,LOSS
53,UCLA @ 17 USC,USC -22.5,WIN
54,UNLV @ Nevada,UNLV -7.5,WIN
55,Wyoming @ Hawai'i,Hawai'i -8.5,WIN
56,Charlotte @ Tulane,No Bet,WIN
57,Florida State @ Florida,No Bet,LOSS
58,San Diego State @ New Mexico,No Bet,WIN
59,Arizona @ Arizona State,No Bet,LOSS
60,UTEP @ Delaware,No Bet,WIN
61,Louisiana Tech @ Missouri State,No Bet,LOSS
62,Boston College @ Syracuse,No Bet,WIN
63,Wisconsin @ Minnesota,No Bet,LOSS
64,Wake Forest @ Duke,No Bet,WIN
65,North Carolina @ NC State,No Bet,WIN
66,Middle Tennessee @ New Mexico State,No Bet,LOSS
67,Virginia Tech @ Virginia,No Bet,WIN
